Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
haver obter informação presencial,encaminhamento,encaminhamento levar documento b.,Informações,haver obter informação presencial,b-serviço b-doc,frustrar,informação
horário verificar,encaminhamento,encaminhamento acer portal serviço,Emergência,horário verificar,b-atendimento b-atendimento,neutro,emergência
verificar atendimento,serviço x,horário serviço x 8h a o 18h,Documentação,verificar atendimento,b-serviço b-serviço b-serviço,neutro,documentação
horário obter informação,encaminhamento,horário encaminhamento 8h a o 18h,Contato,horário obter informação,b-tempo b-atendimento b-tempo,frustrar,contato
cadastrar atendimento,agendamento,cancelar contato por o portal,Informações,cadastrar atendimento,b-tempo b-serviço b-tempo,neutro,informação
telefone cadastrar,serviço x,serviço x disponível em o unidade,Encaminhamento,telefone cadastrar,b-atendimento b-atendimento,urgente,encaminhamento
documento necessário cadastrar,serviço y,caso emergência dirijar se a o atendimento presencial,Encaminhamento,documento necessário cadastrar,b-atendimento b-doc b-atendimento,confuso,encaminhamento
cancelar atendimento,serviço x,cancelar contato por o portal,Contato,cancelar atendimento,b-serviço b-serviço,neutro,contato
documento necessário agendar,contato,contato levar documento b.,Documentação,documento necessário agendar,b-doc b-doc b-serviço,confuso,documentação
cancelar atendimento,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,cancelar atendimento,b-doc b-serviço,neutro,encaminhamento
haver verificar presencial,serviço y,caso emergência dirijar se a o atendimento presencial,Emergência,haver verificar presencial,b-atendimento,neutro,emergência
consultar atendimento,contato,encontrar informação contato site,Informações,consultar atendimento,b-tempo b-tempo b-tempo,frustrar,informação
agendar atendimento,contato,contato por o xx xxxx-xxxx,Cancelamento,agendar atendimento,b-serviço b-doc b-doc,urgente,cancelamento
obter informação obter informação,serviço y,precisar ajuda atendente a o disposição,Emergência,obter informação obter informação,b-tempo b-doc b-serviço,neutro,emergência
caso emergência,cancelamento,atendimento presencial,Cancelamento,caso emergência,b-serviço b-tempo b-atendimento,urgente,cancelamento
telefone obter informação,agendamento,contato por o xx xxxx-xxxx,Documentação,telefone obter informação,b-tempo b-serviço b-serviço,neutro,documentação
horário verificar,cancelamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,horário verificar,b-tempo b-doc,confuso,encaminhamento
obter informação obter informação,serviço x,encontrar informação serviço x site,Informações,obter informação obter informação,b-atendimento b-serviço b-doc,neutro,informação
haver consultar presencial,serviço y,encontrar informação serviço y site,Informações,haver consultar presencial,b-serviço,confuso,informação
telefone verificar,emergência,emergência levar documento b.,Encaminhamento,telefone verificar,b-doc b-tempo,neutro,encaminhamento
haver agendar presencial,agendamento,agendamento disponível em o unidade,Informações,haver agendar presencial,b-serviço,neutro,informação
cancelar atendimento,serviço x,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-atendimento b-doc,urgente,encaminhamento
caso emergência,contato,contato levar documento b.,Documentação,caso emergência,b-atendimento b-tempo b-tempo,urgente,documentação
documento necessário agendar,serviço x,cancelar contato por o portal,Informações,documento necessário agendar,b-tempo b-atendimento b-tempo,neutro,informação
documento necessário agendar,informação,informação disponível em o unidade,Emergência,documento necessário agendar,b-tempo b-atendimento b-tempo,urgente,emergência
encontrar informação solicitar,agendamento,contato por o xx xxxx-xxxx,Encaminhamento,encontrar informação solicitar,b-doc b-tempo b-tempo,urgente,encaminhamento
documento necessário obter informação,agendamento,agendamento disponível em o unidade,Informações,documento necessário obter informação,b-atendimento b-serviço b-tempo b-atendimento,confuso,informação
encontrar informação verificar,encaminhamento,encaminhamento levar documento b.,Encaminhamento,encontrar informação verificar,b-serviço b-serviço b-doc,neutro,encaminhamento
encontrar informação agendar,cancelamento,cancelamento levar documento b.,Encaminhamento,encontrar informação agendar,b-serviço b-serviço b-tempo,frustrar,encaminhamento
cancelar atendimento,serviço x,caso emergência dirijar se a o atendimento presencial,Informações,cancelar atendimento,b-serviço b-atendimento,frustrar,informação
cancelar atendimento,informação,informação acer portal serviço,Emergência,cancelar atendimento,b-tempo b-doc,neutro,emergência
caso emergência,cancelamento,atendimento presencial,Contato,caso emergência,b-atendimento b-serviço b-atendimento,urgente,contato
telefone solicitar,cancelamento,cancelar contato por o portal,Informações,telefone solicitar,b-serviço b-atendimento,confuso,informação
haver agendar presencial,contato,precisar ajuda atendente a o disposição,Cancelamento,haver agendar presencial,b-doc,frustrar,cancelamento
preciso ajuda consultar,serviço x,serviço x acer portal serviço,Encaminhamento,preciso ajudar consultar,b-serviço b-atendimento,urgente,encaminhamento
caso emergência,agendamento,cancelar contato por o portal,Cancelamento,caso emergência,b-tempo b-doc b-serviço,confuso,cancelamento
horário obter informação,emergência,precisar ajuda atendente a o disposição,Informações,horário obter informação,b-serviço b-doc b-tempo,frustrar,informação
documento necessário consultar,informação,horário informação 8h a o 18h,Emergência,documento necessário consultar,b-serviço b-tempo b-atendimento,frustrar,emergência
cancelar atendimento,emergência,encontrar informação emergência site,Informações,cancelar atendimento,b-serviço b-serviço,neutro,informação
caso emergência,serviço y,precisar ajuda atendente a o disposição,Emergência,caso emergência,b-doc b-tempo b-tempo,neutro,emergência
encontrar informação verificar,cancelamento,precisar ajuda atendente a o disposição,Encaminhamento,encontrar informação verificar,b-serviço b-atendimento b-doc,frustrar,encaminhamento
horário cadastrar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Emergência,horário cadastrar,b-doc b-tempo,neutro,emergência
encontrar informação obter informação,emergência,encontrar informação emergência site,Informações,encontrar informação obter informação,b-tempo b-serviço b-serviço b-doc,frustrar,informação
cancelar atendimento,agendamento,contato por o xx xxxx-xxxx,Emergência,cancelar atendimento,b-serviço b-doc,neutro,emergência
cancelar atendimento,contato,atendimento presencial,Informações,cancelar atendimento,b-tempo b-tempo,urgente,informação
cancelar atendimento,emergência,encontrar informação emergência site,Contato,cancelar atendimento,b-doc b-serviço,urgente,contato
verificar atendimento,contato,encontrar informação contato site,Informações,verificar atendimento,b-tempo b-tempo b-atendimento,neutro,informação
obter informação consultar,cancelamento,atendimento presencial,Emergência,obter informação consultar,b-atendimento b-serviço,neutro,emergência
verificar atendimento,serviço x,contato por o xx xxxx-xxxx,Contato,verificar atendimento,b-atendimento b-doc b-doc,frustrar,contato
obter informação cadastrar,encaminhamento,encontrar informação encaminhamento site,Encaminhamento,obter informação cadastrar,b-atendimento b-serviço,neutro,encaminhamento
preciso ajuda agendar,informação,cancelar contato por o portal,Informações,preciso ajudar agendar,b-serviço b-atendimento,urgente,informação
horário agendar,serviço x,precisar ajuda atendente a o disposição,Informações,horário agendar,b-doc b-doc,neutro,informação
haver solicitar presencial,serviço x,contato por o xx xxxx-xxxx,Documentação,haver solicitar presencial,b-atendimento,neutro,documentação
verificar atendimento,contato,caso emergência dirijar se a o atendimento presencial,Documentação,verificar atendimento,b-atendimento b-atendimento b-serviço,neutro,documentação
cancelar atendimento,serviço x,encontrar informação serviço x site,Informações,cancelar atendimento,b-doc b-serviço,urgente,informação
documento necessário agendar,informação,precisar ajuda atendente a o disposição,Documentação,documento necessário agendar,b-serviço b-doc b-doc,confuso,documentação
haver consultar presencial,emergência,encontrar informação emergência site,Informações,haver consultar presencial,b-tempo,neutro,informação
verificar atendimento,agendamento,contato por o xx xxxx-xxxx,Informações,verificar atendimento,b-atendimento b-serviço b-atendimento,frustrar,informação
documento necessário verificar,agendamento,agendamento disponível em o unidade,Contato,documento necessário verificar,b-tempo b-atendimento b-tempo,neutro,contato
verificar atendimento,contato,precisar ajuda atendente a o disposição,Cancelamento,verificar atendimento,b-tempo b-serviço b-serviço,confuso,cancelamento
documento necessário consultar,agendamento,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário consultar,b-serviço b-tempo b-doc,neutro,encaminhamento
cancelar atendimento,serviço x,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-atendimento b-tempo,urgente,informação
documento necessário solicitar,contato,contato acer portal serviço,Encaminhamento,documento necessário solicitar,b-doc b-doc b-tempo,confuso,encaminhamento
caso emergência,serviço y,horário serviço y 8h a o 18h,Informações,caso emergência,b-serviço b-doc b-doc,neutro,informação
telefone agendar,informação,precisar ajuda atendente a o disposição,Contato,telefone agendar,b-doc b-serviço,neutro,contato
haver cadastrar presencial,informação,informação levar documento b.,Emergência,haver cadastrar presencial,b-tempo,urgente,emergência
telefone solicitar,contato,contato por o xx xxxx-xxxx,Encaminhamento,telefone solicitar,b-tempo b-atendimento,frustrar,encaminhamento
obter informação verificar,contato,contato disponível em o unidade,Encaminhamento,obter informação verificar,b-tempo b-doc,neutro,encaminhamento
documento necessário obter informação,serviço y,atendimento presencial,Cancelamento,documento necessário obter informação,b-serviço b-serviço b-serviço b-atendimento,urgente,cancelamento
telefone solicitar,serviço y,cancelar contato por o portal,Emergência,telefone solicitar,b-doc b-doc,frustrar,emergência
encontrar informação verificar,emergência,horário emergência 8h a o 18h,Encaminhamento,encontrar informação verificar,b-serviço b-serviço b-tempo,neutro,encaminhamento
